# tau gt_up gt_dn
3.753 -0.0150567 -0.0150567
3.762 -0.0149457 -0.0149457
3.771 -0.0148356 -0.0148356
3.78 -0.0147263 -0.0147263
3.789 -0.0146177 -0.0146177
3.798 -0.01451 -0.01451
3.807 -0.0144031 -0.0144031
3.816 -0.0142969 -0.0142969
3.825 -0.0141916 -0.0141916
3.834 -0.014087 -0.014087
3.843 -0.0139832 -0.0139832
3.852 -0.0138801 -0.0138801
3.861 -0.0137778 -0.0137778
3.87 -0.0136763 -0.0136763
3.879 -0.0135755 -0.0135755
3.888 -0.0134755 -0.0134755
3.897 -0.0133761 -0.0133761
3.906 -0.0132776 -0.0132776
3.915 -0.0131797 -0.0131797
3.924 -0.0130826 -0.0130826
3.933 -0.0129862 -0.0129862
3.942 -0.0128905 -0.0128905
3.951 -0.0127955 -0.0127955
3.96 -0.0127012 -0.0127012
3.969 -0.0126076 -0.0126076
3.978 -0.0125147 -0.0125147
3.987 -0.0124224 -0.0124224
3.996 -0.0123309 -0.0123309
4.005 -0.01224 -0.01224
4.014 -0.0121498 -0.0121498
4.023 -0.0120603 -0.0120603
4.032 -0.0119714 -0.0119714
4.041 -0.0118832 -0.0118832
4.05 -0.0117956 -0.0117956
4.059 -0.0117087 -0.0117087
4.068 -0.0116224 -0.0116224
4.077 -0.0115367 -0.0115367
4.086 -0.0114517 -0.0114517
4.095 -0.0113673 -0.0113673
4.104 -0.0112835 -0.0112835
4.113 -0.0112004 -0.0112004
4.122 -0.0111178 -0.0111178
4.131 -0.0110359 -0.0110359
4.14 -0.0109546 -0.0109546
4.149 -0.0108739 -0.0108739
4.158 -0.0107937 -0.0107937
4.167 -0.0107142 -0.0107142
4.176 -0.0106352 -0.0106352
4.185 -0.0105568 -0.0105568
4.194 -0.010479 -0.010479
4.203 -0.0104018 -0.0104018
4.212 -0.0103252 -0.0103252
4.221 -0.0102491 -0.0102491
4.23 -0.0101735 -0.0101735
4.239 -0.0100986 -0.0100986
4.248 -0.0100241 -0.0100241
4.257 -0.00995027 -0.00995027
4.266 -0.00987694 -0.00987694
4.275 -0.00980415 -0.00980415
4.284 -0.0097319 -0.0097319
4.293 -0.00966018 -0.00966018
4.302 -0.00958899 -0.00958899
4.311 -0.00951833 -0.00951833
4.32 -0.00944818 -0.00944818
4.329 -0.00937855 -0.00937855
4.338 -0.00930944 -0.00930944
4.347 -0.00924083 -0.00924083
4.356 -0.00917273 -0.00917273
4.365 -0.00910514 -0.00910514
4.374 -0.00903804 -0.00903804
4.383 -0.00897143 -0.00897143
4.392 -0.00890532 -0.00890532
4.401 -0.00883969 -0.00883969
4.41 -0.00877454 -0.00877454
4.419 -0.00870988 -0.00870988
4.428 -0.00864569 -0.00864569
4.437 -0.00858198 -0.00858198
4.446 -0.00851874 -0.00851874
4.455 -0.00845596 -0.00845596
4.464 -0.00839364 -0.00839364
4.473 -0.00833178 -0.00833178
4.482 -0.00827038 -0.00827038
4.491 -0.00820944 -0.00820944
4.5 -0.00814894 -0.00814894
4.509 -0.00808888 -0.00808888
4.518 -0.00802927 -0.00802927
4.527 -0.0079701 -0.0079701
4.536 -0.00791137 -0.00791137
4.545 -0.00785306 -0.00785306
4.554 -0.00779519 -0.00779519
4.563 -0.00773775 -0.00773775
4.572 -0.00768072 -0.00768072
4.581 -0.00762412 -0.00762412
4.59 -0.00756793 -0.00756793
4.599 -0.00751216 -0.00751216
4.608 -0.0074568 -0.0074568
4.617 -0.00740185 -0.00740185
4.626 -0.0073473 -0.0073473
4.635 -0.00729316 -0.00729316
4.644 -0.00723941 -0.00723941
4.653 -0.00718606 -0.00718606
4.662 -0.0071331 -0.0071331
4.671 -0.00708054 -0.00708054
4.68 -0.00702836 -0.00702836
4.689 -0.00697656 -0.00697656
4.698 -0.00692515 -0.00692515
4.707 -0.00687412 -0.00687412
4.716 -0.00682346 -0.00682346
4.725 -0.00677317 -0.00677317
4.734 -0.00672326 -0.00672326
4.743 -0.00667371 -0.00667371
4.752 -0.00662453 -0.00662453
4.761 -0.00657571 -0.00657571
4.77 -0.00652725 -0.00652725
4.779 -0.00647915 -0.00647915
4.788 -0.0064314 -0.0064314
4.797 -0.00638401 -0.00638401
4.806 -0.00633696 -0.00633696
4.815 -0.00629026 -0.00629026
4.824 -0.0062439 -0.0062439
4.833 -0.00619789 -0.00619789
4.842 -0.00615222 -0.00615222
4.851 -0.00610688 -0.00610688
4.86 -0.00606187 -0.00606187
4.869 -0.0060172 -0.0060172
4.878 -0.00597286 -0.00597286
4.887 -0.00592884 -0.00592884
4.896 -0.00588515 -0.00588515
4.905 -0.00584178 -0.00584178
4.914 -0.00579873 -0.00579873
4.923 -0.005756 -0.005756
4.932 -0.00571358 -0.00571358
4.941 -0.00567147 -0.00567147
4.95 -0.00562968 -0.00562968
4.959 -0.00558819 -0.00558819
4.968 -0.00554701 -0.00554701
4.977 -0.00550613 -0.00550613
4.986 -0.00546555 -0.00546555
4.995 -0.00542527 -0.00542527
5.004 -0.00538529 -0.00538529
5.013 -0.00534561 -0.00534561
5.022 -0.00530621 -0.00530621
5.031 -0.00526711 -0.00526711
5.04 -0.00522829 -0.00522829
5.049 -0.00518976 -0.00518976
5.058 -0.00515152 -0.00515152
5.067 -0.00511355 -0.00511355
5.076 -0.00507587 -0.00507587
5.085 -0.00503846 -0.00503846
5.094 -0.00500133 -0.00500133
5.103 -0.00496448 -0.00496448
5.112 -0.00492789 -0.00492789
5.121 -0.00489158 -0.00489158
5.13 -0.00485553 -0.00485553
5.139 -0.00481975 -0.00481975
5.148 -0.00478423 -0.00478423
5.157 -0.00474897 -0.00474897
5.166 -0.00471397 -0.00471397
5.175 -0.00467923 -0.00467923
5.184 -0.00464475 -0.00464475
5.193 -0.00461052 -0.00461052
5.202 -0.00457655 -0.00457655
5.211 -0.00454282 -0.00454282
5.22 -0.00450934 -0.00450934
5.229 -0.00447611 -0.00447611
5.238 -0.00444312 -0.00444312
5.247 -0.00441038 -0.00441038
5.256 -0.00437788 -0.00437788
5.265 -0.00434562 -0.00434562
5.274 -0.00431359 -0.00431359
5.283 -0.0042818 -0.0042818
5.292 -0.00425025 -0.00425025
5.301 -0.00421893 -0.00421893
5.31 -0.00418784 -0.00418784
5.319 -0.00415697 -0.00415697
5.328 -0.00412634 -0.00412634
5.337 -0.00409593 -0.00409593
5.346 -0.00406575 -0.00406575
5.355 -0.00403578 -0.00403578
5.364 -0.00400604 -0.00400604
5.373 -0.00397652 -0.00397652
5.382 -0.00394722 -0.00394722
5.391 -0.00391813 -0.00391813
5.4 -0.00388925 -0.00388925
5.409 -0.00386059 -0.00386059
5.418 -0.00383214 -0.00383214
5.427 -0.0038039 -0.0038039
5.436 -0.00377587 -0.00377587
5.445 -0.00374804 -0.00374804
5.454 -0.00372042 -0.00372042
5.463 -0.003693 -0.003693
5.472 -0.00366579 -0.00366579
5.481 -0.00363877 -0.00363877
5.49 -0.00361196 -0.00361196
5.499 -0.00358534 -0.00358534
5.508 -0.00355892 -0.00355892
5.517 -0.00353269 -0.00353269
5.526 -0.00350666 -0.00350666
5.535 -0.00348082 -0.00348082
5.544 -0.00345516 -0.00345516
5.553 -0.0034297 -0.0034297
5.562 -0.00340443 -0.00340443
5.571 -0.00337934 -0.00337934
5.58 -0.00335443 -0.00335443
5.589 -0.00332971 -0.00332971
5.598 -0.00330518 -0.00330518
5.607 -0.00328082 -0.00328082
5.616 -0.00325664 -0.00325664
5.625 -0.00323264 -0.00323264
5.634 -0.00320882 -0.00320882
5.643 -0.00318517 -0.00318517
5.652 -0.0031617 -0.0031617
5.661 -0.0031384 -0.0031384
5.67 -0.00311527 -0.00311527
5.679 -0.00309231 -0.00309231
5.688 -0.00306953 -0.00306953
5.697 -0.0030469 -0.0030469
5.706 -0.00302445 -0.00302445
5.715 -0.00300216 -0.00300216
5.724 -0.00298004 -0.00298004
5.733 -0.00295808 -0.00295808
5.742 -0.00293628 -0.00293628
5.751 -0.00291464 -0.00291464
5.76 -0.00289316 -0.00289316
5.769 -0.00287184 -0.00287184
5.778 -0.00285068 -0.00285068
5.787 -0.00282967 -0.00282967
5.796 -0.00280881 -0.00280881
5.805 -0.00278812 -0.00278812
5.814 -0.00276757 -0.00276757
5.823 -0.00274717 -0.00274717
5.832 -0.00272693 -0.00272693
5.841 -0.00270683 -0.00270683
5.85 -0.00268688 -0.00268688
5.859 -0.00266708 -0.00266708
5.868 -0.00264743 -0.00264743
5.877 -0.00262792 -0.00262792
5.886 -0.00260855 -0.00260855
5.895 -0.00258933 -0.00258933
5.904 -0.00257025 -0.00257025
5.913 -0.00255131 -0.00255131
5.922 -0.00253251 -0.00253251
5.931 -0.00251384 -0.00251384
5.94 -0.00249532 -0.00249532
5.949 -0.00247693 -0.00247693
5.958 -0.00245867 -0.00245867
5.967 -0.00244056 -0.00244056
5.976 -0.00242257 -0.00242257
5.985 -0.00240472 -0.00240472
5.994 -0.002387 -0.002387
6.003 -0.0023694 -0.0023694
6.012 -0.00235194 -0.00235194
6.021 -0.00233461 -0.00233461
6.03 -0.00231741 -0.00231741
6.039 -0.00230033 -0.00230033
6.048 -0.00228338 -0.00228338
6.057 -0.00226655 -0.00226655
6.066 -0.00224985 -0.00224985
6.075 -0.00223327 -0.00223327
6.084 -0.00221681 -0.00221681
6.093 -0.00220047 -0.00220047
6.102 -0.00218426 -0.00218426
6.111 -0.00216816 -0.00216816
6.12 -0.00215218 -0.00215218
6.129 -0.00213632 -0.00213632
6.138 -0.00212058 -0.00212058
6.147 -0.00210495 -0.00210495
6.156 -0.00208944 -0.00208944
6.165 -0.00207404 -0.00207404
6.174 -0.00205876 -0.00205876
6.183 -0.00204358 -0.00204358
6.192 -0.00202852 -0.00202852
6.201 -0.00201357 -0.00201357
6.21 -0.00199874 -0.00199874
6.219 -0.00198401 -0.00198401
6.228 -0.00196939 -0.00196939
6.237 -0.00195487 -0.00195487
6.246 -0.00194047 -0.00194047
6.255 -0.00192617 -0.00192617
6.264 -0.00191197 -0.00191197
6.273 -0.00189788 -0.00189788
6.282 -0.00188389 -0.00188389
6.291 -0.00187001 -0.00187001
6.3 -0.00185623 -0.00185623
6.309 -0.00184255 -0.00184255
6.318 -0.00182897 -0.00182897
6.327 -0.00181549 -0.00181549
6.336 -0.00180212 -0.00180212
6.345 -0.00178883 -0.00178883
6.354 -0.00177565 -0.00177565
6.363 -0.00176257 -0.00176257
6.372 -0.00174958 -0.00174958
6.381 -0.00173668 -0.00173668
6.39 -0.00172389 -0.00172389
6.399 -0.00171118 -0.00171118
6.408 -0.00169857 -0.00169857
6.417 -0.00168605 -0.00168605
6.426 -0.00167363 -0.00167363
6.435 -0.0016613 -0.0016613
6.444 -0.00164905 -0.00164905
6.453 -0.0016369 -0.0016369
6.462 -0.00162484 -0.00162484
6.471 -0.00161286 -0.00161286
6.48 -0.00160098 -0.00160098
6.489 -0.00158918 -0.00158918
6.498 -0.00157747 -0.00157747
6.507 -0.00156584 -0.00156584
6.516 -0.0015543 -0.0015543
6.525 -0.00154285 -0.00154285
6.534 -0.00153148 -0.00153148
6.543 -0.00152019 -0.00152019
6.552 -0.00150899 -0.00150899
6.561 -0.00149787 -0.00149787
6.57 -0.00148683 -0.00148683
6.579 -0.00147587 -0.00147587
6.588 -0.001465 -0.001465
6.597 -0.0014542 -0.0014542
6.606 -0.00144349 -0.00144349
6.615 -0.00143285 -0.00143285
6.624 -0.00142229 -0.00142229
6.633 -0.00141181 -0.00141181
6.642 -0.0014014 -0.0014014
